
Timer;Current page;Current chap;Reached page;Reched chap;Action;Time from test begining;Time from page begining;Video timer;Time from chap begining;Time from PLAY;Curr slide Chap;Reached slide Chap;Time from chap slide begining
18/07/2019(jeu.)-12:34:21;1;;;;START_PAGE;0,01;0;;;;;;
18/07/2019(jeu.)-12:34:59;1;;2;;NEXT_PAGE;37,48;37,47;;;;;;
18/07/2019(jeu.)-12:34:59;2;;;;START_PAGE;37,48;0;;;;;;
18/07/2019(jeu.)-12:34:59;2;2;;1;CHAP_ATT;37,52;0,03;0;;;;;
18/07/2019(jeu.)-12:35:00;2;2;;;PLAY;38,77;1,29;0;1,25;;;;
18/07/2019(jeu.)-12:35:00;2;2;;;VIDEO_START;38,77;1,29;0;;;;;
18/07/2019(jeu.)-12:35:06;2;2;;;PAUSE;44,44;6,96;5,61;6,92;5,67;;;
18/07/2019(jeu.)-12:35:07;2;2;;;PLAY;45,97;8,49;5,68;8,45;7,20;;;
18/07/2019(jeu.)-12:35:09;2;2;;;PAUSE;47,45;9,96;7,10;9,93;1,47;;;
18/07/2019(jeu.)-12:35:10;2;2;;;PLAY;48,29;10,81;7,16;10,77;2,32;;;
18/07/2019(jeu.)-12:35:15;2;3;;2;CHAP_ATT;53,29;15,81;12,11;15,77;5,00;;;
18/07/2019(jeu.)-12:35:23;2;4;;3;CHAP_ATT;61,29;23,81;20,11;8,00;13,00;;;
18/07/2019(jeu.)-12:35:25;2;4;;;PAUSE;63,31;25,82;22,11;2,02;15,02;;;
18/07/2019(jeu.)-12:35:25;2;;;;VIDEO_END;63,31;25,83;22,11;2,02;15,02;;;
18/07/2019(jeu.)-12:35:26;2;4;;;CHAP_USED;64,64;27,16;22,11;3,35;16,35;;;
18/07/2019(jeu.)-12:35:26;2;2;;1;CHAP_ATT;64,69;27,21;0;3,40;16,40;;;
18/07/2019(jeu.)-12:35:27;2;2;;;PLAY;65,85;28,37;0;1,16;17,56;;;
18/07/2019(jeu.)-12:35:30;2;2;;;NEXT_CHAP;68,28;30,79;2,20;3,58;2,42;;;
18/07/2019(jeu.)-12:35:30;2;3;;2;CHAP_ATT;68,68;31,20;12,00;3,99;2,83;;;
18/07/2019(jeu.)-12:35:37;2;3;3;;NEXT_PAGE;75,55;38,06;18,80;6,87;9,69;;;
18/07/2019(jeu.)-12:35:37;3;;;;START_PAGE;75,55;0;;;;;;
18/07/2019(jeu.)-12:35:37;3;2;;1;CHAP_ATT;75,60;0,05;0;6,92;9,75;;;
18/07/2019(jeu.)-12:35:37;3;2;;;PLAY;75,62;0,07;0;0,02;9,77;;;
18/07/2019(jeu.)-12:35:37;3;2;;;VIDEO_START;75,88;0,33;0;;;;;
18/07/2019(jeu.)-12:35:49;3;3;;2;CHAP_ATT;88,12;12,57;12,19;12,52;12,51;;;
18/07/2019(jeu.)-12:35:57;3;4;;3;CHAP_ATT;96,12;20,57;20,19;8,00;20,50;;;
18/07/2019(jeu.)-12:35:59;3;4;;;PAUSE;98,03;22,48;22,11;1,91;22,41;;;
18/07/2019(jeu.)-12:35:59;3;;;;VIDEO_END;98,03;22,48;22,11;1,91;22,41;;;
18/07/2019(jeu.)-12:36:00;3;4;4;;SOMMAIRE;98,99;23,44;22,11;2,87;23,38;;;
18/07/2019(jeu.)-12:36:00;4;;;;START_PAGE;99,00;0;;;;;;
18/07/2019(jeu.)-12:36:00;4;1;;;PLAY;99,04;0,04;0;2,92;23,42;;;
