
Timer;Current page;Current chap;Reached page;Reched chap;Action;Time from test begining;Time from page begining;Video timer;Time from chap begining;Time from PLAY
12/07/2019(ven.)-11:47:05;1;;;;START_PAGE;0,01;0;;;
12/07/2019(ven.)-11:47:06;1;2;;1;CHAP_ATT;0,11;0,10;0;;
12/07/2019(ven.)-11:47:08;1;2;;;PLAY;3,00;2,99;0,00;2,90;
12/07/2019(ven.)-11:47:08;1;2;;;VIDEO_START;3,01;3,00;0,01;;
12/07/2019(ven.)-11:47:14;1;3;;2;CHAP_ATT;8,12;8,11;4,06;8,01;5,12
12/07/2019(ven.)-11:47:19;1;3;;;NEXT_CHAP;13,30;13,29;8,27;5,18;10,29
12/07/2019(ven.)-11:47:21;1;4;;3;CHAP_ATT;15,21;15,21;15,00;7,10;12,21
12/07/2019(ven.)-11:47:21;1;4;;;PREV_CHAP;15,96;15,95;15,41;0,74;12,95
12/07/2019(ven.)-11:47:22;1;3;;2;CHAP_ATT;16,36;16,35;4,00;1,14;13,35
12/07/2019(ven.)-11:47:25;1;3;;;CHAP_USED;19,93;19,92;6,91;3,57;16,93
12/07/2019(ven.)-11:47:25;1;2;;1;CHAP_ATT;20,01;20,00;0,00;3,65;17,01
12/07/2019(ven.)-11:47:29;1;2;;;PAUSE;24,00;23,99;3,09;3,99;21,00
12/07/2019(ven.)-11:47:34;1;2;;;PLAY;28,51;28,50;3,10;8,50;25,51
12/07/2019(ven.)-11:47:35;1;2;;;PAUSE;29,15;29,14;3,53;9,14;0,64
12/07/2019(ven.)-11:47:38;1;2;;;PLAY;32,28;32,27;3,54;12,27;3,77
12/07/2019(ven.)-11:47:39;1;3;;2;CHAP_ATT;33,05;33,04;4,05;13,04;0,77
12/07/2019(ven.)-11:47:39;1;3;;;CHAP_USED;33,71;33,70;4,46;0,66;1,43
12/07/2019(ven.)-11:47:41;1;4;;3;CHAP_ATT;35,41;35,40;15,00;2,36;3,13
12/07/2019(ven.)-11:47:49;1;4;;;PAUSE;43,18;43,17;21,19;7,77;10,90
12/07/2019(ven.)-11:47:49;1;;;;VIDEO_END;43,18;43,17;21,19;7,77;10,90
12/07/2019(ven.)-11:47:50;1;4;2;;NEXT_PAGE;44,90;44,89;21,19;9,48;12,62
12/07/2019(ven.)-11:47:50;2;;;;START_PAGE;44,90;0;;;
12/07/2019(ven.)-11:48:16;2;;3;;SOMMAIRE;70,88;25,98;;;
12/07/2019(ven.)-11:48:16;3;;;;START_PAGE;70,88;0;;;
12/07/2019(ven.)-11:48:16;3;1;;;PLAY;70,92;0,04;0;35,51;38,64
12/07/2019(ven.)-11:48:17;3;1;;;VIDEO_START;71,23;0,35;0;;
12/07/2019(ven.)-11:48:23;3;1;1;;SOMMAIRE;77,33;6,45;6,05;41,92;6,42
12/07/2019(ven.)-11:48:23;1;;;;START_PAGE;77,34;0;;;
12/07/2019(ven.)-11:48:23;1;2;;1;CHAP_ATT;77,35;0,02;0;41,94;6,44
12/07/2019(ven.)-11:48:25;1;2;4;;SOMMAIRE;79,06;1,73;0;1,71;8,14
12/07/2019(ven.)-11:48:25;4;;;;START_PAGE;79,06;0;;;
12/07/2019(ven.)-11:48:26;4;;;;NEXT_PAGE;80,69;1,62;;;
12/07/2019(ven.)-11:48:26;;;;;END;80,69;;;;
