
Timer;Current page;Current chap;Reached page;Reched chap;Action;Time from test begining;Time from page begining;Video timer;Time from chap begining;Time from PLAY
04/07/2019(jeu.)-11:39:03;0;;;;START_PAGE;0.001;0;;;
04/07/2019(jeu.)-11:39:04;0;0;;;PLAY;0.992;0.991;0.003222;;
04/07/2019(jeu.)-11:39:04;0;0;;;VIDEO_START;0.995;0.994;0.006243;;
04/07/2019(jeu.)-11:39:07;0;0;;;NEXT_CHAP;3.697;3.696;2.119027;;2.705
04/07/2019(jeu.)-11:39:09;0;1;;1;CHAP_ATT;5.71;5.709;3.001871;;4.718
04/07/2019(jeu.)-11:39:11;0;1;;;PAUSE;7.535;7.534;4.422488;1.825;6.543
04/07/2019(jeu.)-11:39:14;0;1;;;CHAP_USED;10.854;10.853;4.422488;5.144;9.862
04/07/2019(jeu.)-11:39:17;0;1;;;PLAY;13.663;13.662;3.002954;7.953;12.671
04/07/2019(jeu.)-11:39:18;0;1;;;CHAP_USED;14.753;14.752;4.027744;9.043;1.09
04/07/2019(jeu.)-11:39:20;0;3;;3;CHAP_ATT;16.85;16.849;18.000352;11.14;3.187
04/07/2019(jeu.)-11:39:22;0;;;;NAVBAR_USED;18.703;18.702;19.527129;1.853;5.04
04/07/2019(jeu.)-11:39:22;0;3;;;PAUSE;18.706;18.705;9.937934;1.856;5.043
04/07/2019(jeu.)-11:39:22;0;3;;;PLAY;18.786;18.785;9.937934;1.936;5.123
04/07/2019(jeu.)-11:39:22;0;1;;1;CHAP_ATT;19.303;19.302;9.93861;2.453;0.517
04/07/2019(jeu.)-11:39:22;0;2;;2;CHAP_ATT;19.43;19.429;10.061296;0.127;0.644
04/07/2019(jeu.)-11:39:23;0;2;;;PAUSE;20.255;20.254;10.717243;0.825;1.469
04/07/2019(jeu.)-11:39:24;0;;;;NAVBAR_USED;21.36;21.359;10.717243;1.93;2.574
04/07/2019(jeu.)-11:39:26;0;3;;3;CHAP_ATT;22.716;22.715;20.14494;3.286;3.93
04/07/2019(jeu.)-11:39:26;0;3;;;PLAY;23.166;23.165;20.146957;0.45;4.38
04/07/2019(jeu.)-11:39:27;0;3;;;PAUSE;24.48;24.479;21.187833;1.764;1.314
04/07/2019(jeu.)-11:39:27;0;;;;VIDEO_END;24.483;24.482;21.187833;1.767;1.317
04/07/2019(jeu.)-11:39:29;0;3;;;NEXT_PAGE;26.358;26.357;21.187833;3.642;3.192
04/07/2019(jeu.)-11:39:29;1;;;;START_PAGE;26.36;0;;;
04/07/2019(jeu.)-11:39:29;1;0;;;PLAY;26.38;0.02;0;3.664;3.214
04/07/2019(jeu.)-11:39:29;1;0;;;VIDEO_START;26.394;0.034;0.002625;;
04/07/2019(jeu.)-11:39:34;1;0;;;NEXT_PAGE;30.588;4.228;4.198232;7.872;4.208
04/07/2019(jeu.)-11:39:34;2;;;;START_PAGE;30.592;0;;;
04/07/2019(jeu.)-11:39:34;2;;;;PAUSE;30.601;0.009;;;
04/07/2019(jeu.)-11:39:37;2;;4;;SOMMAIRE;33.516;2.924;;;
04/07/2019(jeu.)-11:39:37;4;;;;START_PAGE;33.518;0;;;
04/07/2019(jeu.)-11:39:39;4;;5;;SOMMAIRE;36.044;2.526;;;
04/07/2019(jeu.)-11:39:39;5;;;;START_PAGE;36.046;0;;;
04/07/2019(jeu.)-11:39:40;5;0;;;CHAP_USED;37.06;1.014;0;14.344;10.68
04/07/2019(jeu.)-11:39:41;5;2;;2;CHAP_ATT;37.63;1.584;10;14.914;11.25
04/07/2019(jeu.)-11:39:41;5;2;;;PLAY;38.264;2.218;10.00436;0.634;11.884
04/07/2019(jeu.)-11:39:41;5;2;;;VIDEO_START;38.266;2.22;10.006587;;
04/07/2019(jeu.)-11:39:42;5;2;;;PAUSE;38.998;2.952;10.657756;1.368;0.734
04/07/2019(jeu.)-11:39:43;5;2;6;;SOMMAIRE;40.445;4.399;10.657756;2.815;2.181
04/07/2019(jeu.)-11:39:43;6;;;;START_PAGE;40.447;0;;;
04/07/2019(jeu.)-11:39:44;6;;;;NEXT_PAGE;41.436;0.989;;;
04/07/2019(jeu.)-11:39:44;;;;;END;41.438;;;;
